#CNPJ;NAME;CVMCODE;STATUS_DATE;STATUS
04.794.962/0001-10;AGRONESA-AGROPEC NOVA ESPERANÇA;507105;2012-01-10;CANCELED
21.444.765/0001-90;AGRONORTE SA;221;2005-12-20;CANCELED
06.454.276/0001-26;AGRONOSA AGROPEC NORTE SA;519111;2011-07-05;CANCELED
04.102.265/0001-51;AGROPALMA SA;501166;2012-02-14;CANCELED
34.130.039/0001-45;AGROPARANÁ S/A;515078;2012-02-14;CANCELED
13.632.344/0001-65;AGROPASA AGR MED PARAGUASSU SA;512257;2012-02-14;CANCELED
06.011.779/0001-27;AGROPASTORIL CANTANHEDE SA;510173;2012-02-14;CANCELED
07.680.093/0001-91;AGROPASTORIL DOIS ACUDES S/A;505102;2012-02-14;CANCELED
02.007.196/0001-71;AGROPASTORIL ESTRELA DO ORIENTE SA;518697;2011-06-10;CANCELED
07.093.305/0001-34;AGROPASTORIL GADO BRANCO SA;514462;2011-01-19;CANCELED
08.818.981/0001-90;AGROPASTORIL GALDINO SA;501751;2008-09-28;CANCELED
23.434.400/0001-00;AGROPASTORIL IPUIRU SA;506664;2008-09-28;CANCELED
04.365.615/0001-72;AGROPASTORIL JAFFARABAD SA;512966;2012-02-14;CANCELED
08.317.364/0001-01;AGROPASTORIL JOSE IVO SA;505323;2012-02-14;CANCELED
08.993.933/0001-39;AGROPASTORIL LAGOA DE CIMA S/A - LACIMA;501271;2009-04-03;CANCELED
05.512.116/0001-23;AGROPASTORIL LIVRAMENTO SA;506184;2012-02-14;CANCELED
04.856.522/0001-40;AGROPASTORIL MURRAH S/A - AGROMURRAH;507261;2012-02-14;CANCELED
04.705.570/0001-38;AGROPASTORIL RIO CUNANY SA;509400;2008-09-28;CANCELED
43.126.184/0001-43;AGROPASTORIL RODA VELHA SA;504017;2007-10-22;CANCELED
25.129.453/0001-43;AGROPASTORIL SANGUINETTE SA AGROSAN;519561;2013-07-17;CANCELED
11.539.392/0001-88;AGROPASTORIL SERRA DA EMA SA;507873;2008-09-28;CANCELED
11.539.392/0001-88;AGROPASTORIL SERRA DA EMA SA;519162;2011-11-25;CANCELED
09.597.170/0001-70;AGROPEC AGUA BRANCA SA;504084;2008-09-28;CANCELED
05.363.767/0001-07;AGROPEC ALTEROSA SA;512567;2012-02-14;CANCELED
05.363.767/0001-07;AGROPEC ALTEROSA SA;520870;2018-12-28;CANCELED
04.599.353/0001-00;AGROPEC AMAMBAI SA;504602;2012-02-14;CANCELED
09.569.724/0001-25;AGROPEC ANGELUS SA;503371;2012-02-14;CANCELED
04.697.033/0001-93;AGROPEC AQUARIUS SA;519030;2010-11-11;CANCELED
04.407.979/0001-78;AGROPEC ARUANA SA;505188;1995-05-26;CANCELED
04.851.523/0001-00;AGROPEC BAIXO AMAZONAS SA;517763;2016-08-01;CANCELED
05.426.804/0001-70;AGROPEC BARRA DAS PRINCESAS SA;509647;1998-08-28;CANCELED
04.987.376/0001-92;AGROPEC BEBEDOURO SA;506966;2012-10-24;CANCELED
21.363.270/0001-37;AGROPEC BELA VISTA SA;502286;2012-02-14;CANCELED
04.022.489/0001-53;AGROPEC BELO HORIZONTE SA;508799;2012-02-14;CANCELED
11.527.439/0001-93;AGROPEC BELO VALE SA;506524;1997-04-08;CANCELED
21.706.502/0001-02;AGROPEC BETANIA SA;503967;2012-02-14;CANCELED
12.791.281/0001-27;AGROPEC BOA ESPERANCA SA;511781;2012-02-14;CANCELED
04.880.829/0001-87;AGROPEC BOA SORTE SA;507890;2012-02-14;CANCELED
13.951.272/0001-19;AGROPEC BOA VISTA SA;506648;2012-02-14;CANCELED
31.690.746/0001-06;AGROPEC BOA VISTA SA;506745;2003-10-22;CANCELED
13.951.272/0001-19;AGROPEC BOA VISTA SA;520497;2016-10-11;CANCELED
31.499.015/0001-70;AGROPEC BONOMO SA;508608;2012-02-14;CANCELED
31.499.015/0001-70;AGROPEC BONOMO SA;520489;2016-10-10;CANCELED
08.021.867/0001-35;AGROPEC BRITO IRMAOS SA;502952;2012-02-14;CANCELED
04.818.803/0001-09;AGROPEC CAJABI SA;514381;2008-09-28;CANCELED
12.799.904/0001-08;AGROPEC CAMBOA SA;511374;2012-02-14;CANCELED
11.523.610/0001-96;AGROPEC CAMPO ALEGRE SA;510327;2012-02-14;CANCELED
08.668.238/0001-00;AGROPEC CAMPOS SA;506591;1998-08-28;CANCELED
09.192.642/0001-04;AGROPEC CANAFISTULA SA;509272;1998-03-24;CANCELED
11.848.025/0001-66;AGROPEC CAROCA SA;506222;2012-02-14;CANCELED
04.132.437/0001-30;AGROPEC CAROPA SA;510661;2012-02-14;CANCELED
04.132.437/0001-30;AGROPEC CAROPA SA;519430;2012-12-03;CANCELED
07.127.053/0001-17;AGROPEC CASCAVEL SA - AGROCASA;509868;2012-02-14;CANCELED
08.896.839/0001-61;AGROPEC CAXIRIMBU SA;500372;2012-02-14;CANCELED
10.767.341/0001-40;AGROPEC CEARENSE SA - ACESA;515116;2008-09-28;CANCELED
17.438.920/0001-99;AGROPEC CEDROMINAS SA;513210;1992-10-23;CANCELED
14.714.653/0001-47;AGROPEC CORACI PARANA SA;513717;2012-02-14;CANCELED
04.418.398/0001-31;AGROPEC CORUMBIARA SA;513180;2012-10-24;CANCELED
12.907.572/0001-38;AGROPEC CUPISSURA SA;516821;2012-02-14;CANCELED
13.027.644/0001-15;AGROPEC DA BARRA SA;505811;2012-02-14;CANCELED
14.056.386/0001-68;AGROPEC DA STA CRUZ SA;508284;2012-02-14;CANCELED
14.056.386/0001-68;AGROPEC DA STA CRUZ SA;519669;2013-11-08;CANCELED
04.376.224/0001-53;AGROPEC DEMETRIO SA;507091;2012-02-14;CANCELED
04.376.224/0001-53;AGROPEC DEMETRIO SA;520705;2018-01-08;CANCELED
06.645.196/0001-58;AGROPEC DIAMANTE SA - AGRODISA;503088;2008-09-28;CANCELED
04.713.087/0001-03;AGROPEC DO BOSQUE SA;512699;2012-02-14;CANCELED
03.208.360/0001-71;AGROPEC DO CACHIMBO SA;512850;1993-06-03;CANCELED
14.123.228/0001-83;AGROPEC DO GUAMA SA;507016;2012-02-14;CANCELED
09.574.971/0001-10;AGROPEC DO RETIRO SA;502715;2012-02-14;CANCELED
07.363.351/0001-06;AGROPEC DUPLO T SA;520152;2015-10-13;CANCELED
06.976.187/0001-40;AGROPEC E INDL MACHADO SA-AGRIMA;520667;2017-10-05;CANCELED
06.997.449/0001-52;AGROPEC E INDL SANTANA SA;515817;2008-09-28;CANCELED
31.741.259/0001-17;AGROPEC ESTRELA DO NORTE SA;511854;2006-08-07;CANCELED
24.067.092/0001-95;AGROPEC ESTRELA SA;511293;2012-02-14;CANCELED
11.642.808/0001-99;AGROPEC FAZ CATALUNHA SA;501603;2005-09-20;CANCELED
10.246.999/0001-07;AGROPEC FAZ PARANA SA;502774;2002-07-23;CANCELED
09.260.597/0001-88;AGROPEC FAZ PAU LEITE SA;503916;2012-02-14;CANCELED
08.846.271/0001-74;AGROPEC FERNANDES SA;513512;2012-02-14;CANCELED
09.493.404/0001-39;AGROPEC FERREIRA SA;503061;2012-02-14;CANCELED
14.035.257/0001-93;AGROPEC FLECHAL SA;513296;2005-11-03;CANCELED
14.035.257/0001-93;AGROPEC FLECHAL SA;520055;2015-06-01;CANCELED
04.602.181/0001-87;AGROPEC FORQUILHA SA;509809;2010-09-14;CANCELED
84.192.079/0001-90;AGROPEC FRANGO ACU SA;516481;2012-02-14;CANCELED
11.439.577/0001-10;AGROPEC GERSON MARANHAO SA;511730;1992-12-04;CANCELED
06.016.364/0001-46;AGROPEC GIFONI SALES SA;517097;2008-09-28;CANCELED
15.053.267/0001-14;AGROPEC GRENDENE SA;500941;2001-04-27;CANCELED
04.871.760/0001-25;AGROPEC HAKONE SA;511935;2008-09-28;CANCELED
04.696.894/0001-57;AGROPEC ILHA DE NAZARE SA;517313;2012-02-14;CANCELED
04.597.316/0001-63;AGROPEC INDEPENDENCIA SA;514268;2012-02-14;CANCELED
55.742.977/0001-76;AGROPEC ITAMBE SA;510670;1993-12-29;CANCELED
28.477.313/0001-54;AGROPEC ITAPEMIRIM SA;509701;1997-03-21;CANCELED
35.098.573/0001-84;AGROPEC ITAPIRACO SA;510696;2012-02-14;CANCELED
06.881.361/0001-70;AGROPEC JATOBA SA;510297;1993-08-31;CANCELED
05.428.222/0001-23;AGROPEC JATOBA SA;517429;1997-09-15;CANCELED
07.223.092/0001-18;AGROPEC JENIPAPO SA;516910;2008-09-28;CANCELED
19.388.727/0001-16;AGROPEC LAGOA VERDE SA;517801;2009-08-21;CANCELED
22.677.009/0001-74;AGROPEC LOPES SA;508098;1997-06-16;CANCELED
11.739.349/0001-66;AGROPEC MALACACHETA SA;505625;2012-02-14;CANCELED
04.657.193/0001-09;AGROPEC MARACAJA SA;511897;2012-02-14;CANCELED
11.494.804/0001-00;AGROPEC MARFIM SA;503029;2012-02-14;CANCELED
08.332.413/0001-85;AGROPEC MARIA PAZ NORTE SA;503118;2012-02-14;CANCELED
17.562.893/0001-61;AGROPEC MONTE REI SA;509469;2012-02-14;CANCELED
08.632.515/0001-16;AGROPEC MUCAMBE SA;501093;2012-02-14;CANCELED
06.843.916/0001-90;AGROPEC MUCAMBO SA;506990;2012-02-14;CANCELED
05.625.009/0001-01;AGROPEC MUCUBAL SA;507687;2008-09-28;CANCELED
14.725.287/0001-21;AGROPEC MUNDO NOVO SA;503525;2012-02-14;CANCELED
79.764.619/0001-22;AGROPEC MUSAMAR SA;500933;1997-05-16;CANCELED
05.324.843/0001-67;AGROPEC N S DE FATIMA SA;505366;2012-02-14;CANCELED
08.845.398/0001-79;AGROPEC NELSON ALMEIDA SA;514080;2012-02-14;CANCELED
08.845.398/0001-79;AGROPEC NELSON ALMEIDA SA;519936;2014-10-10;CANCELED
05.061.809/0001-47;AGROPEC NOIRUMBA SA;518220;2012-02-14;CANCELED
05.017.041/0001-04;AGROPEC NOVA ERA SA;514160;2012-02-14;CANCELED
12.770.335/0001-78;AGROPEC NOVA SERTANIA SA;515019;2004-09-01;CANCELED
05.374.053/0001-96;AGROPEC NOVO MUNDO SA;512400;2012-02-14;CANCELED
05.374.053/0001-96;AGROPEC NOVO MUNDO SA;519600;2013-08-27;CANCELED
05.140.512/0001-77;AGROPEC OLINDA SA;512397;2012-02-14;CANCELED
08.057.879/0001-10;AGROPEC OLIVEIRA MACIEL SA;502235;2012-02-14;CANCELED
01.146.059/0001-55;AGROPEC PALMIRA DO NORTE SA;515132;2012-02-14;CANCELED
33.655.911/0001-06;AGROPEC PEIXE BOI SA;511536;2005-10-27;CANCELED
04.930.590/0001-02;AGROPEC PIMENTA BUENO SA;513156;2012-10-24;CANCELED
05.306.733/0001-72;AGROPEC PINHO SA AGROPINHO;512206;2012-02-14;CANCELED
04.882.908/0001-27;AGROPEC PIQUIA SA;518409;2006-01-13;CANCELED
05.377.734/0001-08;AGROPEC PITITAL SA;511510;2008-09-28;CANCELED
04.730.412/0001-38;AGROPEC PRACUUBA SA;513245;2012-07-30;CANCELED
08.121.329/0001-12;AGROPEC QUIXADA SA;507539;2012-02-14;CANCELED
08.121.329/0001-12;AGROPEC QUIXADA SA;520810;2018-09-05;CANCELED
04.978.466/0001-17;AGROPEC REMANSO ACU SA;511099;2008-09-28;CANCELED
05.426.663/0001-96;AGROPEC REUNIDOS PARAENSE SA;512982;1992-01-02;CANCELED
09.009.408/0001-07;AGROPEC RIBEIRA DO MOXOTO SA;501760;2008-09-28;CANCELED
03.144.078/0001-78;AGROPEC RICA SA;509698;1997-03-20;CANCELED
04.581.971/0001-23;AGROPEC RICASTRO SA;503878;2016-05-02;CANCELED
05.078.415/0001-00;AGROPEC RIO ARATAU SA;513458;2011-03-23;CANCELED
00.100.651/0001-53;AGROPEC RIO BONITO SA;506613;2012-02-14;CANCELED
05.153.515/0001-45;AGROPEC RIO CAUAXI SA;503363;2012-02-14;CANCELED
15.026.073/0001-20;AGROPEC RIO DARRO SA;511110;1996-10-21;CANCELED
04.364.519/0001-00;AGROPEC RIO DAS ANTAS SA;510149;1999-07-28;CANCELED
46.991.329/0001-62;AGROPEC RIO DEZOITO SA;511285;2012-02-14;CANCELED
22.921.449/0001-25;AGROPEC RIO DO OURO SA;513326;2012-02-14;CANCELED
12.091.260/0001-07;AGROPEC RIO MEARIM SA;503258;2012-02-14;CANCELED
46.991.311/0001-60;AGROPEC RIO MUDRIRE SA;511943;2012-02-14;CANCELED
46.991.311/0001-60;AGROPEC RIO MUDRIRE SA;520438;2016-07-20;CANCELED
04.170.783/0001-02;AGROPEC RIO NEGRO SA;515043;2012-02-14;CANCELED
00.809.095/0001-99;AGROPEC RIO PIUM SA;506605;1992-01-23;CANCELED
31.683.279/0001-89;AGROPEC RIO PRETO SA;511765;2012-02-14;CANCELED
05.023.692/0001-07;AGROPEC RIO S JOAO SA;510408;2012-02-14;CANCELED
06.838.940/0001-30;AGROPEC RIO VOLTA SA;504661;1999-12-23;CANCELED
05.609.086/0001-78;AGROPEC RODRIGUES DO SANTOS SA;511994;2005-11-03;CANCELED
03.144.060/0001-76;AGROPEC RONCADOR SA;505196;2000-06-15;CANCELED
04.870.838/0001-97;AGROPEC SALES OLIVEIRA SA;507911;2012-02-14;CANCELED
15.611.809/0001-27;AGROPEC SALGADO SA;500747;2012-02-14;CANCELED
35.098.532/0001-98;AGROPEC SANTANA SA;510718;2008-09-28;CANCELED
08.947.475/0001-00;AGROPEC SAO BOA VENTURA SA;509795;2012-02-14;CANCELED
08.187.874/0001-01;AGROPEC SAO CAMILO SA;503673;2012-02-14;CANCELED
04.862.744/0001-76;AGROPEC SAO JOAO SA;519910;2014-09-30;CANCELED
00.956.532/0001-05;AGROPEC SAO NICOLAU SA;508489;2012-02-14;CANCELED
00.085.902/0001-78;AGROPEC SAO PEDRO SA;508063;2012-02-14;CANCELED
00.085.902/0001-78;AGROPEC SAO PEDRO SA;520446;2016-07-29;CANCELED
46.991.295/0001-06;AGROPEC SAO ROBERTO SA;508080;2007-08-15;CANCELED
12.924.601/0001-70;AGROPEC SEMPRE VERDE SA;514055;2008-09-28;CANCELED
00.999.987/0001-08;AGROPEC SONHO DOURADO SA;508683;2012-02-14;CANCELED
04.595.104/0001-47;AGROPEC STA ADELIA SA;509434;2011-07-26;CANCELED
19.324.029/0001-57;AGROPEC STA IDÁLIA - AGROSANTA;506214;2003-08-22;CANCELED
24.067.076/0001-00;AGROPEC STA INEZ SA;516392;2008-09-28;CANCELED
08.799.512/0001-71;AGROPEC STA IZABEL SA-AGROSISA;501174;2008-09-28;CANCELED
07.460.710/0001-43;AGROPEC STA MARTA SA;505935;2012-02-14;CANCELED
04.870.226/0001-02;AGROPEC STA RITA DO MARAJO SA;512524;2012-02-14;CANCELED
04.870.226/0001-02;AGROPEC STA RITA DO MARAJO SA;520101;2018-04-12;CANCELED
12.771.408/0001-46;AGROPEC STA ROSA SA;511382;2008-09-28;CANCELED
09.030.081/0001-47;AGROPEC STA TEREZA SA;509396;2012-02-14;CANCELED
00.817.627/0001-30;AGROPEC STO ANTONIO DAS LENDAS SA;519219;2012-07-24;CANCELED
11.567.708/0001-45;AGROPEC TAMARINDO SA;500631;1997-11-07;CANCELED
08.674.160/0001-28;AGROPEC TAMBORIL VITORIA SA;501999;2012-02-14;CANCELED
