#SYMBOL;DESCRIPTION;ISIN;CURRENCY_BASE;CONTRACT_SIZE;TICK_SIZE;TICK_VALUE;DIGITS;MIN_VOLUME;MAX_VOLUME;STEP_VOLUME;START_TIME;EXPIRATION_TIME;OPTION_MODE;OPTION_RIGHT;OPTION_STRIKE
ABEVF69;ABEV        ON   18,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF70;ABEV        ON   19,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF71;ABEV        ON   21,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF72;ABEV        ON   21,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF75;ABEV        ON   22,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF77;ABEV        ON   22,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF81;ABEVE       ON   21,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF83;ABEVE       ON   22,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF85;ABEVE       ON   23,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF88;ABEV        ON   18,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF89;ABEV        ON   19,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF90;ABEV        ON   20,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF91;ABEVE       ON   14,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF92;ABEVE       ON   21,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF93;ABEVE       ON   23,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF94;ABEVE       ON   24,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF95;ABEV        ON   15,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF97;ABEV        ON   16,85;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.06.19 20:59:59;0;0;0.00000000
ABEVF98;ABEVE       ON   18,60;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.06.19 20:59:59;0;0;0.00000000
ABEVF99;ABEVE       ON   18,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVG18;ABEV        ON   17,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.07.18 20:59:59;0;0;0.00000000
ABEVG20;ABEV        ON   19,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.07.18 20:59:59;0;0;0.00000000
